ABINGDON
ACKTANG
ADAGDAK
AGRIGAN
AGROMOSA
AGUA POCA
AKUTAN
ALAGOGSHAK
ALAID
ALAMAGAN
ALCEDO
AMAK
AMBRYM
ANAK KRAKATAU
ANATAHAN
ANDREW BAY
ANGELA'S CONE
ANGELAS CONE
ANIAKCHAK
ANTUCO
ANYUAN
AOBA
ARENAL
ASUSECA
ATKA
AUGUSTINE
AVACHINSKY
BAKENING
BALURAN
BANDERA
BARBA
BARREN ISLAND
BARRINGTON
BEERENBERG
BERG
BEZYMIANNY
BIG CREEK VOLCANIC PIPE
BINDLOE
BOBOTUSHAN
BOBROF
BOGOSLOF
BONANZA MINE
BOQUERON
BOUVET
BRAT CHIRPOY
BUFUMBIRA
BULDIR
BURKO
BUZZARD CREEK
CARISLE
CERRO AZUL
CERRO CHATO
CERRO CHOPO
CERRO CLARK
CERRO COLORADO
CERRO CUADRADO
CERRO DEL MOJON
CERRO DE LOS CHENQUES
CERRO LOS MARTINEZ
CERRO NEGRO
CERRO PELADO
CERRO QUEMADO
CERRO REDONDO
CHANGLE
CHATHAM
CHIKURACHI
CHIQUIMULA
CHUDLEIGH
CHUGINADAK
CIGUATEPE
CONCEPCION
CONCHAGUA
COSIGUINA
CUILAPA
CUKRA HILL
DAMAPING
DARWIN
DAYISHAN
DAYIZISHAN
DE MONTE
DEVILS DESK
DUNCAN
EKARMA
EL BARU
ELEDOI
EL FRAILE
EL PEDRERO
EL TIGRE
EL VALLE
EMMONS
EMMONS LAKE CALDERA
ESPANOLA
ESSIMINGOR
ESTANCIA ALVAREZ
FENI
FERNANDINA
FONUALEI
FOSTER CRATER
FRONTAL CONE
FROSTY PEAK
FUEGO
FUJI
GALERAS
GALUNGGUNG
GAMBLE
GAMCHEN
GELAI
GIFFORD
GILL
GOBERNADOR GREGORES
GORELY
GRANADA
GREAT SITKIN
GUGUAN
HAKONE
HALVDANPIGGEN
HAWAIIAN
HEALY
HEBI
HERBERT
HINEPUIA
HINETAPEKA
HOOD
HUANGYISHAN
HUOSHAOSHAN
ICHINSKY
ILE DE CAILLE
INDEFATIGABLE
IOTO
IRAZU
IZALCO
IZU-OSHIMA
JAMES
JARILLOSO
JERVIS
KAGUYAK
KAMPU
KANAGA
KAREM MAHARAL
KARTHALA
KARYMSKY
KASATOCHI
KATMAI
KAUAI
KAZIMIRO
KERIMASI
KETUMBEINE
KHARCHINSKY
KILAUEA
KISITE
KISKA
KIZIMEN
KLYUCHEVSKOY
KOMAROV
KOOLAU
KOROVIN
KRASHENINNIKOV
KRENITSYN
KUEIPI
KYAMBU
LABAIT
LA BARCA
LAGUNA
LA PROVIDENCIA
LAS CUMBRES
LASHAINE
LAS LAJAS
LAS PILAS
LATE
LA YEGUADA
LIHIR
LITTLE MERU
LITTLE PAVLOF
LITTLE SITKIN
LOLOBAU
LOOLMURWAK
LOPEVI
LOTE 17
L'VINAYA PAST
MACAULEY
MADERAS
MALUMALU
MANGAIA
MARCHENA
MARTINEZ
MASAOCHI
MASAYA
MAUNA KEA
MAUNA LOA
MAX
MEDICINE LAKE
MEGATA
MERAPI
MERCADERES
MERU
METIS SHOAL
MINGXI
MIRAVALLES
MIYAKE-JIMA
MOMOTOMBO
MONDULI
MONOWAI
MONT BOISSIER
MONTSERRAT
MORZHOVOI
MOTASTEPE
MOUNT DOOM
MOUNT FUJI
MOUNT GARET
MOUNT GRIGGS
MOUNT HAGUE
MOUNT KLIUCHEF
MOUNT LEURA
MOUNT MAGEIK
MOUNT MAYON
MOUNT MAZAMA
MOUNT MIHARA
MOUNT MISERY
MOUNT MOFFETT
MOUNT PELEE
MOUNT PORNDON
MOUNT QUINCAN
MOUNT SHADWELL
MOUNT SIMEON
MOUNT TAYLOR
MOUNT VSEVIDOF
MUTNOVSKY
MYOJINSHO
NARBOROUGH
NEJAPA
NEMO
NGAOUNDERE
NGURDOTO
NIIJIMA
NISHINOSHIMA
NIUTOUSHAN
NORTH EAST
NORTH SEYMOUR
NUNIVAK
NUSHAN
OKMOK
OKU
OLDER CONE
OLDOINYO LENGAI
OLDOINYO LIYU
OMURO
OROSI
OSHIMA
PACAYA
PAGAN
PAKUSHIN
PANSHISHAN
PARICUTIN
PASE DE LOS INDIOS
PAVLOF
PAVLOF SISTER
PEARL LAGOON
PENGLAI
PICO DE ORIZABA
PIIP
PINATUBO
PINTA
PITON DE LA FOURNAISE
PLATANAR
PLAZAS
PLOSKY SOPKY
POAS
POPOCATEPETL
PRECHATO
PRINDLE
PUTOTO
QILIN
QIXIA
RAIKOKE
RAKAHORE
RAMA ROAD
RAOUL
RECHESCHNOI
REDOUBT
RINCON
RINDJANI
RIO PACUARE
RITTER
ROCA REDONDA
ROSS
ROTA-1
SAN CRISTOBAL
SANGEANG API
SANGUMBURI
SAN JACINTO
SAN MIGUEL
SANTA CRUZ
SANTA FE
SANTA MARIA
SAN VICENTE
SANYITANG
SARIGAN
SARYCHEV
SAVAI'I
SCHMIDT
SEGUAM
SEGULA
SEMISOPOCHNOI
SHAVARYN-TSARAM
SHILA
SHISHALDIN
SHIVELUCH
SIERRA NEGRA
SIGURDFJELL
SIMBO
SIMCOE
SIMEON
SMEAGOL
SNOWY MOUNTAIN
SOCORRO ISLAND
SOMMATA
SOUFRIERE
SOUTH SEYMOUR
SOUTH WEST
SPURR
STROMBOLI
SULU
SUMISU CALDERA
SVERREFJELL
TACANA
TAJUMULCO
TALAMANCAS
TALLANTE
TAMBORA
TANGAROA
TANNA
TAROSERO
TA'U
TECUAMBURRO
TEISHI KNOLL
TELICA
TELL THANNOUN
TENORIO
TIANCHI
TOLBACHIK
TORRE ALFINA
TOSHIMA
TOWER
TRES LAGOS
TRIDENT
TUBAF
TUBUAI
TURRIALBA
TUTUILA
UDONEJIMA
UKINREK
ULIAGA
UNALASKA
UPOLU
UPPER HELLS GATE
URACAS
URATMAN
VAILULU'U
VARISCAN
VENIAMINOF
VESUVIUS
VILLARICA
VISOKE
VOLCAN ECUADOR
VULCANS THRONE
WANGQING
WAU EN NAMUS
WESTDAHL
WOLF
XILONG
YINGFENGLING
YITONG
YOJOA
YUNASKA
ZARECHNY
ZAVARITSKI
