,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
10116,66.0,-17.0,48.96,1.76,0.04,13.6,9.0,8.95,GL,PETDB-2222-OL5
1477,65.0,-17.0,48.37,2.46,0.34,11.55,11.46,6.89,GL,PETDB-2222-LIT1_OL62_GL1
1478,65.0,-17.0,48.69,2.51,0.31,11.79,12.16,6.95,GL,PETDB-2222-LIT2_OL50_GL1
1479,65.0,-17.0,48.79,2.57,0.36,11.54,12.46,7.26,GL,PETDB-2222-LIT2_OL51_GL1
1480,65.0,-17.0,48.49,2.45,0.35,11.76,12.72,7.09,GL,PETDB-2222-LIT2_OL52_GL1
10117,65.0,-17.0,48.24,2.54,0.35,11.74,12.52,6.83,GL,PETDB-2222-LIT1_OL33_GL2
10118,65.0,-17.0,48.34,2.56,0.35,11.69,12.45,6.92,GL,PETDB-2222-LIT1_OL43_GL1
10119,65.0,-17.0,48.14,2.44,0.33,11.58,11.66,6.93,GL,PETDB-2222-LIT1_OL56_GL1
10120,65.0,-17.0,48.45,2.45,0.35,11.78,11.9,7.01,GL,PETDB-2222-LIT2_OL50_GL2
10121,65.0,-17.0,48.54,2.42,0.35,11.58,12.21,7.25,GL,PETDB-2222-LIT2_OL52_GL2
10122,65.0,-17.0,48.0,2.5,0.36,11.56,12.06,7.04,GL,PETDB-2222-LIT2_OL53_GL1
10123,65.0,-17.0,48.77,2.58,0.28,11.61,12.44,7.26,GL,PETDB-2222-LIT2_OL53_GL2
1481,65.0,-16.0,48.94,1.74,0.07,13.08,9.05,10.07,GL,PETDB-2222-HBT10 1
1482,65.0,-16.0,49.56,1.86,0.06,13.31,9.46,9.76,GL,PETDB-2222-HET1_OL49_GL1
1483,65.0,-16.0,48.82,1.74,0.09,13.26,9.44,9.52,GL,PETDB-2222-HETA_CHIP1_GL1
10124,65.0,-16.0,48.25,1.74,0.06,12.98,10.13,10.02,GL,PETDB-2222-HBT10 2
10125,65.0,-16.0,49.48,1.72,0.09,13.51,9.36,9.85,GL,PETDB-2222-HET1_OL20_GL1
10126,65.0,-16.0,49.49,1.78,0.07,13.32,9.89,9.76,GL,PETDB-2222-HET1_OL25_GL1
12161,65.0,-16.0,,,,,,11.13,WR,PETDB-3208-TRO-53
1498,-3.4,36.42,41.85,0.14,,0.31,,47.53,WR,PETDB-2339-89-664
1499,-3.4,36.42,40.16,0.1,,0.09,,46.27,WR,PETDB-2339-89-671
1500,-3.4,36.42,43.34,0.16,,1.05,,45.3,WR,PETDB-2339-89-674
1501,-3.4,36.42,45.34,0.13,,0.62,,45.93,WR,PETDB-2339-89-675
1502,-3.4,36.42,41.81,0.12,,0.3,,48.61,WR,PETDB-2339-89-678
1503,-3.4,36.42,44.28,0.14,,0.81,,45.93,WR,PETDB-2339-89-680
1504,-3.4,36.42,43.36,0.13,,0.55,,47.66,WR,PETDB-2339-89-719
10136,-3.4,36.42,42.38,0.21,,0.94,,48.07,WR,PETDB-2339-89-661
