,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
6,-38.4,176.0,50.51,3.06,0.64,10.6,8.4,5.8,WR,15500910-TPVZ-TZ005
7,-38.5847,176.0,50.366,2.72,0.39,10.48,8.33,6.06,WR,15500910-TPVZ-TZ006
8,-38.3833,176.0,51.74,2.71,0.71,10.08,7.92,6.0,WR,15500910-TPVZ-TZ017
9,-39.25,176.0,48.52,2.49,0.27,11.16,6.99,9.12,WR,15500910-TPVZ-TZ015
15,-39.25,176.0,52.27,2.76,0.58,9.61,7.45,9.15,WR,15500910-TPVZ-TZ016
10,-38.6689,176.0,48.92,2.2,0.33,12.07,8.26,6.97,WR,15500910-TPVZ-TZ001
11,-38.4667,176.0,51.02,2.61,0.56,10.18,7.84,9.2,WR,15500910-TPVZ-TZ014
12,-39.0,176.0,50.11,3.08,0.4,10.57,8.47,6.24,WR,15500910-TPVZ-TZ003
13,-39.1403,176.0,52.45,2.41,0.67,10.29,7.87,7.67,WR,15500910-TPVZ-TZ010
14,-38.0833,176.0,51.06,2.34,0.55,11.86,7.57,6.31,WR,15500910-TPVZ-TZ008
16,-38.0833,176.0,53.24,2.87,0.78,9.93,8.02,5.24,WR,15500910-TPVZ-TZ009
17,-38.5014,176.0,50.19,3.22,0.37,10.49,8.25,6.14,WR,15500910-TPVZ-TZ012
18,-38.5014,176.0,49.43,2.95,0.31,11.68,7.84,7.46,WR,15500910-TPVZ-TZ013
19,-38.6681,176.0,49.5,2.25,0.3,12.0,8.27,6.94,WR,15500910-TPVZ-TZ007
20,-38.2333,176.0,50.63,2.12,0.55,11.34,8.26,6.17,WR,15500910-TPVZ-TZ004
21,-39.0333,176.0,52.26,1.64,0.43,9.61,7.37,13.17,WR,15500910-TPVZ-TZ011
44,42.0,2.0,44.19,4.48,1.77,8.97,11.03,10.35,WR,BIANSPA-OLOT-OLT12
45,42.0,2.0,45.53,0.1,0.01,3.01,7.52,40.13,WR,BIANSPA-OLOT-OLT14D
46,42.0,2.0,46.45,0.1,0.04,2.63,7.9,39.87,WR,BIANSPA-OLOT-OLT29A
47,42.0,2.0,43.81,,0.02,0.33,7.36,47.89,WR,BIANSPA-OLOT-OLT3A
48,42.0,2.0,44.21,,0.02,0.5,7.53,47.24,WR,BIANSPA-OLOT-OLT3B
49,42.0,2.0,44.41,,0.02,0.55,7.65,46.9,WR,BIANSPA-OLOT-OLT4A
50,42.0,2.0,45.7,0.08,0.03,3.5,7.86,39.52,WR,BIANSPA-OLOT-OLT4E
51,42.0,2.0,46.45,0.03,0.01,3.06,7.51,40.04,WR,BIANSPA-OLOT-OLT4F
52,42.0,2.0,44.2,,0.04,0.51,7.58,47.13,WR,BIANSPA-OLOT-OLT7
53,42.0,2.0,44.43,,0.04,0.5,7.44,47.14,WR,BIANSPA-OLOT-OTL14A
81,20.3,110.1,43.5,0.22,0.03,2.77,7.46,38.22,WR,CAOCHI-TIA-RT1014-46
82,20.3,110.1,43.88,0.28,0.04,3.24,7.44,37.94,WR,CAOCHI-TIA-RT1014-47
99,42.75,11.8667,56.62,0.99,7.16,4.48,5.12,8.42,WR,CONTITAL-TALF-VS90-A
100,42.75,11.8667,62.44,2.17,1.58,0.15,1.29,0.43,WR,CONTITAL-TALF-VS25-B
101,42.75,11.8667,57.67,1.15,5.9,4.36,5.54,7.52,WR,CONTITAL-TALF-VS27-B
102,42.75,11.8667,55.47,1.18,7.46,4.7,5.08,9.36,WR,CONTITAL-TALF-VS29-A
112,37.21,-119.15,50.8,0.09,0.23,13.4,5.73,17.6,WR,DODSIE-CP-119
113,37.21,-119.15,47.7,1.18,0.18,19.7,6.24,11.5,WR,DODSIE-CP-134
114,37.21,-119.15,52.4,,0.02,1.38,9.84,27.4,WR,DODSIE-CP-142
115,37.21,-119.15,55.7,,,1.55,5.71,32.5,WR,DODSIE-CP-150
116,37.21,-119.15,51.1,1.16,0.21,20.8,3.59,14.6,WR,DODSIE-CP-153
117,37.21,-119.15,52.9,0.56,0.03,14.6,3.6,22.0,WR,DODSIE-CP-160A
118,37.21,-119.15,53.9,0.93,0.76,10.2,5.24,20.8,WR,DODSIE-CP-160B
119,37.21,-119.15,51.6,0.56,,19.5,3.25,17.4,WR,DODSIE-CP-161
120,37.21,-119.15,53.9,0.23,,6.34,6.02,27.5,WR,DODSIE-CP-164
121,37.21,-119.15,53.6,1.26,0.21,19.5,3.68,15.6,WR,DODSIE-CP-166
122,37.21,-119.15,54.7,0.18,,4.25,5.41,29.7,WR,DODSIE-CP-179
123,37.21,-119.15,51.4,1.07,0.72,18.1,4.14,13.7,WR,DODSIE-CP-180
124,37.21,-119.15,53.3,0.28,,12.4,4.96,22.6,WR,DODSIE-CP-193
125,37.21,-119.15,50.2,0.6,0.26,8.85,6.79,20.1,WR,DODSIE-CP-194
126,37.21,-119.15,53.2,,,1.75,7.4,29.0,WR,DODSIE-CP-200
127,37.21,-119.15,53.3,2.82,2.39,7.98,1.79,7.77,WR,DODSIE-CP-203
128,37.21,-119.15,53.6,2.58,2.53,7.35,3.92,7.94,WR,DODSIE-CP-204
129,37.21,-119.15,53.1,2.72,2.48,7.93,4.66,8.48,WR,DODSIE-CP-214
130,37.21,-119.15,55.3,,,3.25,5.46,31.0,WR,DODSIE-CP-28
131,37.21,-119.15,53.3,0.37,,13.3,3.92,22.6,WR,DODSIE-CP-30
132,37.21,-119.15,50.1,1.24,0.18,16.6,6.27,13.1,WR,DODSIE-CP-36
133,37.21,-119.15,41.3,,0.04,4.0,11.56,31.4,WR,DODSIE-CP-45
134,37.21,-119.15,48.4,1.27,0.27,14.8,5.99,12.4,WR,DODSIE-CP-46
135,37.21,-119.15,56.1,0.26,0.76,2.21,4.52,28.6,WR,DODSIE-CP-49
136,37.21,-119.15,54.6,0.38,,7.94,4.91,27.5,WR,DODSIE-CP-50
137,37.21,-119.15,53.7,0.75,0.64,2.45,8.13,22.5,WR,DODSIE-CP-52
138,37.21,-119.15,50.5,0.57,1.47,7.82,6.96,18.5,WR,DODSIE-CP-60
139,37.21,-119.15,49.7,0.3,1.55,1.3,12.92,20.4,WR,DODSIE-CP-67
140,37.21,-119.15,44.3,0.23,0.19,1.12,10.68,30.7,WR,DODSIE-CP-69
141,37.21,-119.15,44.1,0.54,0.22,7.85,6.82,20.4,WR,DODSIE-CP-71
142,37.21,-119.15,53.1,0.39,,15.7,3.84,20.8,WR,DODSIE-CP-76
143,37.21,-119.15,45.2,0.33,0.89,1.89,10.9,29.3,WR,DODSIE-CP-87
144,37.21,-119.15,42.4,0.67,0.59,16.6,2.18,15.8,WR,DODSIE-CP-89
145,37.21,-119.15,55.0,,,2.0,5.43,31.6,WR,DODSIE-CP-92
146,37.21,-119.15,47.0,1.18,1.25,13.6,5.49,12.3,WR,DODSIE-CP-99
170,53.25,158.5,42.92,,,0.6,,46.2,WR,HALARUS-KAM-AVX-33
171,53.25,158.5,53.51,3.43,0.49,9.03,,5.06,WR,HALARUS-KAM-AVX-35-B
172,53.25,158.5,41.39,,,0.62,,47.08,WR,HALARUS-KAM-AVX-45
173,53.25,158.5,43.56,,,0.72,,44.93,WR,HALARUS-KAM-AVX-49
174,53.25,158.5,54.12,3.62,0.61,9.18,,3.53,WR,HALARUS-KAM-AVX-49-B
175,53.25,158.5,42.55,0.11,,0.68,,25.82,WR,HALARUS-KAM-AVX-60
176,53.25,158.5,54.22,3.76,0.56,8.85,,3.67,WR,HALARUS-KAM-AVX-60-B
177,53.25,158.5,44.4,,,0.52,,33.11,WR,HALARUS-KAM-AVX-61
196,13.103,143.693,,,,,,,GL,KAI0003-164-003
217,37.25,-119.33,49.5,0.43,0.08,13.8,7.67,17.4,WR,MUKHSIE-PSM-PS11
218,37.25,-119.33,50.7,0.57,0.08,12.3,5.8,19.8,WR,MUKHSIE-PSM-PS6
237,37.8056,-119.47,75.17,3.06,4.74,1.48,,0.34,WR,TEYLAKE-TL11-2A
406,37.8056,-119.47,75.27,3.25,4.58,1.64,,0.32,WR,TEYLAKE-TL11-2B
407,37.8056,-119.47,75.04,3.68,3.95,1.97,,0.17,WR,TEYLAKE-TL11-6B
438,37.8056,-119.47,74.13,3.29,5.48,1.53,,0.1,WR,TEYLAKE-TL11-19
513,37.8056,-119.47,76.01,3.03,5.66,0.83,,0.05,WR,TEYLAKE-TL11-20
284,37.9439,-118.761,62.92,4.19,4.69,3.11,3.65,0.97,WR,GASP-10-785
286,37.9439,-118.761,65.11,4,4.74,3.25,2.77,0.67,WR,GASP-10-786
285,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-11
287,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-12
288,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-6
289,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-9
293,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-102
294,39.95,139.73,,,,,,,WR,PETDB-1713-ICH-10
435,39.95,139.73,73.87,3.03,4.99,0.68,,0.06,WR,PETDB-2287-40603
436,39.95,139.73,71.84,2.95,4.56,0.65,,0.07,WR,PETDB-2287-40604
437,39.95,139.73,74.06,3.08,4.98,0.7,,0.06,WR,PETDB-2287-40606
351,38.78,15.22,51.81,2.17,1.71,10.27,,4.98,WR,PETDB-1916-RG2/H
369,-52.0,-70.0,45.4,0.3,,3.3,,37.1,WR,PETDB-1922-BN35
370,-52.0,-70.0,45.3,0.29,,3.4,,36.9,WR,PETDB-1922-BN4
371,-52.0,-70.0,45.6,0.25,,3.0,,37.9,WR,PETDB-1922-LS101
372,-52.0,-70.0,44.8,0.26,,3.0,,37.3,WR,PETDB-1922-LS33
373,-52.0,-70.0,44.9,0.22,,2.9,,38.3,WR,PETDB-1922-LS4
374,-52.0,-70.0,45.0,0.31,,3.2,,37.6,WR,PETDB-1922-TM1
375,-52.0,-70.0,45.3,0.27,,3.0,,37.7,WR,PETDB-1922-TM2
1036,-52.0,-70.0,44.58,4.21,1.66,11.26,,8.19,WR,SKEWCHL-PATA-BN-31
1037,-52.0,-70.0,46.27,2.76,1.07,9.66,,11.3,WR,SKEWCHL-PATA-BN-61
1038,-52.0,-70.0,46.36,4.34,2.06,11.25,,6.13,WR,SKEWCHL-PATA-PA-14
1039,-52.0,-70.0,45.23,3.24,1.25,9.91,,14.45,WR,SKEWCHL-PATA-PA-21
1040,-52.0,-70.0,47.02,3.25,1.36,9.55,,10.3,WR,SKEWCHL-PATA-PA-24
1041,-52.0,-70.0,44.36,3.67,1.92,9.44,,9.25,WR,SKEWCHL-PATA-PA-3
1042,-52.0,-70.0,48.41,3.53,1.57,9.52,,7.14,WR,SKEWCHL-PATA-PA-9
408,35.35,138.73,51.49,2.68,0.73,9.71,10.85,5.29,WR,PETDB-2080-FJ-FJ-HO-IV
409,35.35,138.73,51.03,2.68,0.77,9.79,11.84,5.18,WR,PETDB-2080-FJ-FJ-JB3
410,35.35,138.73,51.49,2.78,0.69,9.76,10.32,5.57,WR,PETDB-2080-FJ-FJ-SJ70
411,35.35,138.73,51.61,2.84,0.71,9.99,10.16,4.61,WR,PETDB-2080-FJ-FJ-SJ77
412,34.08,139.52,53.31,2.71,0.54,9.22,13.16,4.09,WR,PETDB-2080-MJ-MJ-1983-2808
413,34.08,139.52,54.75,2.87,0.61,8.72,12.43,3.84,WR,PETDB-2080-MJ-MJ-1983-2908
414,34.08,139.52,53.13,2.43,0.51,9.39,13.58,4.5,WR,PETDB-2080-MJ-MJ-2000-1
415,34.08,139.52,52.7,2.25,0.37,10.33,11.37,3.6,WR,PETDB-2080-MJ-MJ-2000-2
416,34.08,139.52,53.08,2.44,0.51,9.41,13.63,4.46,WR,PETDB-2080-MJ-MJ-2000-3
417,34.08,139.52,52.22,2.35,0.45,10.2,12.83,4.35,WR,PETDB-2080-MJ-MJ-2000-4
418,34.08,139.52,52.29,2.36,0.45,10.11,12.86,4.37,WR,PETDB-2080-MJ-MJ-2000-5
419,34.08,139.52,54.0,2.83,0.56,8.88,13.1,4.02,WR,PETDB-2080-MJ-MJ-2000-A2
420,34.08,139.52,53.9,2.82,0.56,8.97,13.05,4.01,WR,PETDB-2080-MJ-MJ-2000-B1
421,34.08,139.52,54.0,2.85,0.56,8.89,12.99,4.06,WR,PETDB-2080-MJ-MJ-2000-C1
422,34.37,139.27,51.46,2.52,0.39,9.8,13.61,4.61,WR,PETDB-2080-NJ-NJ-NIJ
423,34.724,139.394,53.07,1.98,0.41,9.77,14.3,4.6,WR,PETDB-2080-OS-OS-JB2
424,34.724,139.394,52.58,1.82,0.39,9.5,15.02,4.76,WR,PETDB-2080-OS-OS-Y3
425,34.724,139.394,52.186,1.9,0.43,9.48,14.95,4.77,WR,PETDB-2080-OS-OS-Y5
426,34.724,139.394,52.49,1.937,0.43,9.6,14.69,4.65,WR,PETDB-2080-OS-OS-YL-UPPER
1902,34.724,139.394,54.09,2.38,0.45,9.03,,4.07,WR,PETDB-3180-119408
1903,34.724,139.394,51.49,2.23,0.39,10.28,,5.34,WR,PETDB-3180-133583
427,34.97,139.12,49.7,2.06,0.25,11.03,10.14,7.7,WR,PETDB-2080-TK-TK-TKN-102
428,35.47,139.15,63.08,3.81,0.77,6.43,5.5,2.39,WR,PETDB-2080-TM-TM-MZ4-1
429,35.47,139.15,56.86,3.61,0.19,8.22,6.73,3.57,WR,PETDB-2080-TM-TM-OT5A-1
430,35.47,139.15,43.15,1.45,0.04,14.04,12.82,7.17,WR,PETDB-2080-TM-TM-OTN5-1
431,35.47,139.15,69.68,3.73,0.55,4.78,3.87,1.66,WR,PETDB-2080-TM-TM-Y-1
432,-4.92,151.158,51.3,2.22,0.24,12.16,,6.79,WR,PETDB-2093-53-1047
433,-4.92,151.158,69.64,4.37,1.2,3.76,,1.13,WR,PETDB-2093-53-2526
434,39.93,139.88,55.22,2.97,1.4,8.72,,3.84,WR,PETDB-2287-080203
439,60.4521,-152.755,57.28,3.53,1.08,7.97,,3.59,WR,PETDB-2341-08RDCRB019B
440,60.4439,-152.759,45.5,1.72,0.09,12.03,,6.45,WR,PETDB-2341-08RDCRB022
441,60.5344,-152.795,46.05,1.9,0.08,11.52,,5.88,WR,PETDB-2341-08RDMLC021B
486,19.1,-99.7,62.32,4.08,2.03,5.37,,3.6,WR,PETDB-2455-M69
487,19.1,-99.7,61.88,4.37,1.56,4.96,,2.88,WR,PETDB-2455-RAM452
488,19.1,-99.7,62.8,3.95,1.77,4.58,,2.1,WR,PETDB-2455-RAM592
500,41.33,-121.33,54.12,3.38,0.85,9.03,,5.64,WR,PETDB-2543-1139M
501,41.33,-121.33,73.0,3.95,4.29,1.32,,0.36,WR,PETDB-2543-1331M
505,41.33,-121.33,57.65,3.61,1.45,7.57,,4.7,WR,PETDB-2543-1545M
506,41.33,-121.33,50.09,2.72,0.45,10.82,,8.37,WR,PETDB-2543-733M
511,41.33,-121.33,62.45,3.77,2.44,5.21,,2.43,WR,PETDB-2543-945M
502,41.3965,-121.637,71.79,4.28,3.82,1.76,,0.51,WR,PETDB-2543-1368M
503,41.428,-121.613,51.43,3.28,0.55,9.72,,6.8,WR,PETDB-2543-1513M
504,41.62,-121.52,,,,,,,WR,PETDB-2543-1543M
507,41.505,-121.644,47.59,2.22,0.07,11.71,,10.62,WR,PETDB-2543-82-72F
508,42.894,-122.247,55.1,3.98,0.71,7.89,,3.87,WR,PETDB-2543-88C-1532
509,42.894,-122.247,68.1,4.98,2.48,2.23,,0.83,WR,PETDB-2543-88C-1533
510,42.894,-122.247,55.5,4.25,1.03,7.79,,3.37,WR,PETDB-2543-88C-1534
512,54.6,160.27,53.14,,,,,,WR,PETDB-2545-651-1
514,37.8478,-119.406,26.73,1.41,0.27,8.78,,5.19,WR,BL15-CC02-CATHPEAK
515,37.8478,-119.406,31.21,0.5,2.05,9.03,,6.59,WR,TR15-14-CATHPEAK
516,37.8478,-119.406,32.06,1.72,1.37,8.21,,4.93,WR,TR15-17-CATHPEAK
517,37.8478,-119.406,34.65,1.88,1.58,5.85,,3.14,WR,TR15-11-CATHPEAK
1428,37.8478,-119.406,35.18,1.63,2.12,4.09,,3.02,WR,CWTR10-11-CATHPEAK
1429,37.8478,-119.406,36.25,1.57,1.76,8.6,,6.31,WR,TR15-15-CATHPEAK
1430,37.8478,-119.406,37.29,0.65,1.84,9.37,,6.79,WR,TR15-13-CATHPEAK
1431,37.8478,-119.406,37.81,1.88,1.28,4.82,,3.49,WR,CWTR10-7-CATHPEAK
1432,37.8478,-119.406,38.51,1.55,1.6,8.17,,5.85,WR,TR15-16-CATHPEAK
1433,37.8478,-119.406,39.48,3.39,3.36,7.86,,6.62,WR,CP11-29C-CATHPEAK
1434,37.8478,-119.406,40.46,2.07,11.25,0.76,,0.3,WR,TU09-4-CATHPEAK
1435,37.8478,-119.406,41.97,2.26,2.32,3.32,,1.9,WR,CWTR10-2-CATHPEAK
1436,37.8478,-119.406,42.52,2.48,2.91,4.87,,5.09,WR,CWTR10-3-CATHPEAK
1437,37.8478,-119.406,45.77,2.99,2.25,3.9,,1.19,WR,CWTR10-1-CATHPEAK
1438,37.8478,-119.406,64.02,5.34,1.91,4.26,,1.42,WR,TR15-22-CATHPEAK
1439,37.8478,-119.406,64.35,4.33,3.11,3.82,,1.4,WR,TR15-21A-CATHPEAK
1440,37.8478,-119.406,64.91,5.13,2.17,4.0,,1.2,WR,TR15-27-CATHPEAK
1441,37.8478,-119.406,67.8,5.24,0.54,3.96,,0.8,WR,BL15-CC01-CATHPEAK
1442,37.8478,-119.406,68.67,4.13,4.63,2.68,,0.54,WR,TR15-26-CATHPEAK
1443,37.8478,-119.406,74.78,3.47,3.1,2.4,,0.25,WR,TR15-24A-CATHPEAK
1444,37.8478,-119.406,77.56,3.48,1.15,2.75,,0.41,WR,TR15-23-CATHPEAK
1445,37.8478,-119.406,79.06,2.4,2.83,1.43,,0.39,WR,YO15-3-CATHPEAK
539,40.4318,44.7,74.5,4.53,4.01,0.97,0.65,0.22,GL,PETDB-2826-211
979,53.256,158.836,43.68,,,0.78,,45.93,WR,PETDB-3284_AV-40
980,53.256,158.836,43.65,0.018,,0.69,,46.0,WR,PETDB-3284_AV-41
981,53.256,158.836,43.95,,,0.84,,45.42,WR,PETDB-3284_AV-42
982,53.256,158.836,44.23,,0.01,0.96,,44.69,WR,PETDB-3284_AV33
983,-5.519,148.115,51.52,1.36,0.59,11.38,,16.88,WR,PETDB-3284_62-01
984,-5.519,148.115,40.43,0.012,0.01,0.14,,49.37,WR,PETDB-3284_62-01 (1)
985,-5.519,148.115,40.66,0.018,0.01,0.23,,50.28,WR,PETDB-3284_62-01 (2)
986,-5.519,148.115,40.41,0.005,,0.11,,49.67,WR,PETDB-3284_62-02 (4)
987,-5.519,148.115,43.43,0.009,0.01,0.37,,46.99,WR,PETDB-3284_63-01 (1)
988,-5.519,148.115,44.72,0.029,0.01,0.37,,46.01,WR,PETDB-3284_63-01 (4)
989,-5.519,148.115,50.07,1.61,0.62,11.2,,15.61,WR,PETDB-3284_64-01
990,-5.519,148.115,51.56,1.42,0.6,11.41,,16.81,WR,PETDB-3284_65-01A
991,-5.519,148.115,51.85,1.28,0.6,11.47,,16.49,WR,PETDB-3284_65-01B
992,-5.519,148.115,51.65,1.24,0.6,11.45,,16.78,WR,PETDB-3284_65-01C
993,-5.519,148.115,51.0,1.45,0.64,12.01,,16.16,WR,PETDB-3284_65-01D
994,-5.519,148.115,51.76,1.34,0.59,11.45,,16.66,WR,PETDB-3284_65-01E
995,-5.519,148.115,49.47,1.66,0.61,11.6,,14.19,WR,PETDB-3284_66-01A
996,-5.519,148.115,49.15,1.67,0.61,11.78,,14.23,WR,PETDB-3284_66-01B
997,-5.519,148.115,49.44,1.64,0.6,11.68,,14.17,WR,PETDB-3284_66-01C
998,-5.519,148.115,49.69,1.65,0.6,11.57,,14.06,WR,PETDB-3284_66-01D
999,-5.519,148.115,49.6,1.58,0.62,11.57,,14.14,WR,PETDB-3284_66-01E
1000,-5.519,148.115,49.5,1.64,0.6,11.58,,14.23,WR,PETDB-3284_66-01G
1001,-5.519,148.115,43.31,0.007,,0.39,,47.39,WR,PETDB-3284_67-02A (2)
1002,-5.519,148.115,44.98,0.002,,0.5,,45.62,WR,PETDB-3284_67-02B (1)
1003,-5.519,148.115,43.49,0.009,0.01,0.34,,47.47,WR,PETDB-3284_67-02B (3)
1004,-5.519,148.115,45.05,0.004,0.01,0.44,,45.82,WR,PETDB-3284_67-02B (7)
1005,-5.519,148.115,49.5,1.63,0.6,11.51,,14.36,WR,PETDB-3284_67-02C
1006,-5.519,148.115,43.41,,,0.32,,46.9,WR,PETDB-3284_67-02D (1)
1007,-5.519,148.115,42.54,0.026,0.01,0.32,,47.54,WR,PETDB-3284_67-02D (7)
1008,-5.519,148.115,43.17,,,0.35,,47.51,WR,PETDB-3284_67-02E (1)
1009,-5.519,148.115,45.32,0.002,0.01,0.52,,45.27,WR,PETDB-3284_67-02E (2)
1010,-5.519,148.115,45.05,,0.01,0.49,,45.35,WR,PETDB-3284_67-02E (5)
1011,-5.519,148.115,44.56,0.013,0.01,0.32,,46.24,WR,PETDB-3284_67-02E (6)
1069,19.0183,-99.1522,52.8,3.86,1.43,6.95,,5.91,WR,PETDB-3303-ASC1_S
1070,19.0183,-99.1522,53.3,3.9,1.46,6.9,,5.76,WR,PETDB-3303-ASC1_A
1094,19.0183,-99.1522,52.83,3.86,1.43,6.95,,5.91,WR,PETDB-3306-ASC1_S
1095,19.0183,-99.1522,53.3,3.9,1.46,6.9,,5.76,WR,PETDB-3306-ASC1_A
1071,18.9861,-99.0589,51.2,3.92,1.24,8.17,,7.13,WR,PETDB-3303-ASC44
1072,19.2458,-99.2225,52.0,3.86,1.35,7.26,,7.67,WR,PETDB-3303-SX25
1073,19.0869,-98.8628,58.9,3.93,1.43,5.99,,5.4,WR,PETDB-3303-SPO60
1230,19.0869,-98.8628,58.9,,,,,5.4,WR,PETDB-3304-SPO60
1074,19.0947,-98.8653,55.6,3.66,1.27,7.11,,7.04,WR,PETDB-3303-SPO56
1075,19.1108,-99.1994,52.7,3.82,0.98,7.34,,7.55,WR,PETDB-3303-LA CIMA 3
1087,19.1108,-99.1994,52.8,3.86,1.43,6.95,,5.91,WR,PETDB-3303-LA CIMA 2
1076,18.8814,-99.1108,53.2,3.6,0.92,8.02,,7.98,WR,PETDB-3303-LT4
1077,18.8814,-99.1108,53.3,3.59,0.92,8.23,,8.15,WR,PETDB-3303-LT3
1078,19.0606,-98.3972,54.9,3.82,1.34,7.19,,6.85,WR,PETDB-3303-SPO58B
1079,19.1028,-99.2414,51.0,3.8,1.11,7.84,,7.53,WR,PETDB-3303-SCEN22
1080,19.0403,-98.6253,62.9,4.38,1.91,4.88,,3.36,WR,PETDB-3303-TP6
1081,19.0631,-98.6753,59.5,4.01,1.32,6.02,,5.6,WR,PETDB-3303-SPO38
1082,19.0861,-98.6794,59.0,4,1.48,6.36,,6.86,WR,PETDB-3303-TP10
1083,19.0236,-98.6225,63.2,4.43,1.71,5.0,,3.9,WR,PETDB-3303-30-APR-96
1084,19.0236,-98.6225,64.5,4.66,1.93,4.56,,2.62,WR,PETDB-3303-30-DEC-1996
1085,19.0236,-98.6225,58.7,4.14,1.29,6.47,,6.73,WR,PETDB-3303-30-JUN-97
1086,19.0236,-98.6225,59.0,4.17,1.4,6.45,,5.58,WR,PETDB-3303-22-JAN-2001
1088,19.1006,-99.0778,53.49,3.94,1.46,6.97,,6.75,WR,PETDB-3306-MCH-06-05
1251,19.1006,-99.0778,53.49,,,,,6.75,WR,PETDB-3304-MCH-06-05
1089,19.0997,-99.0772,53.25,3.98,1.49,7.0,,6.56,WR,PETDB-3306-CH-08-05
1090,19.1297,-99.1372,53.35,3.97,1.47,7.04,,6.55,WR,PETDB-3306-MCH-06-04
1091,19.1069,-99.1742,53.09,3.91,1.44,7.05,,6.58,WR,PETDB-3306-MCH-06-02
1092,19.135,-99.1444,53.42,3.93,1.46,7.05,,6.53,WR,PETDB-3306-MCH-06-03
1093,19.1139,-99.1806,53.34,3.94,1.46,7.1,,6.5,WR,PETDB-3306-MCH-06-01
1096,19.1047,-99.1575,53.41,3.9,1.47,6.83,,5.4,WR,PETDB-3306-S11
1097,19.0936,-99.1539,53.71,3.9,1.5,6.89,,5.41,WR,PETDB-3306-S09
1099,19.0936,-99.1539,53.74,3.9,1.49,6.95,,5.24,WR,PETDB-3306-S10
1240,19.0936,-99.1539,53.71,,,,,5.41,WR,PETDB-3304-S9
1098,19.0889,-99.0789,,,,,,,WR,PETDB-3313-MCH-06-06
1100,19.1194,-99.1133,54.71,3.9,1.52,7.15,,5.24,WR,PETDB-3306-MCH-06-07
1101,19.0978,-99.1508,54.39,3.84,1.46,7.17,,4.95,WR,PETDB-3306-S08
1238,19.0978,-99.1508,54.39,,,,,4.95,WR,PETDB-3304-S8
1102,19.0889,-99.1408,54.73,4.08,1.45,7.12,,3.94,WR,PETDB-3306-S03
1103,19.0947,-99.1492,55.06,3.98,1.46,7.18,,4.15,WR,PETDB-3306-S07
1104,19.0947,-99.1492,54.84,4.02,1.48,7.13,,4.06,WR,PETDB-3306-S06
1105,19.0883,-99.1392,54.92,4.06,1.47,7.12,,3.98,WR,PETDB-3306-S02
1106,19.0892,-99.1428,54.81,4.15,1.51,7.14,,3.89,WR,PETDB-3306-S04
1239,19.0892,-99.1428,54.81,,,,,3.89,WR,PETDB-3304-S4
1107,19.0992,-99.1508,55.7,4.01,1.51,7.37,,4.29,WR,PETDB-3306-CH-07-18
1108,19.0889,-99.1453,54.65,4.13,1.47,7.07,,3.87,WR,PETDB-3306-S5
1109,19.0883,-99.1381,56.45,4.34,1.41,6.57,,3.24,WR,PETDB-3306-S1
1237,19.0883,-99.1381,56.45,,,,,3.24,WR,PETDB-3304-S1
1110,19.0847,-99.0953,,,,,,,WR,PETDB-3313-CH-05-03
1111,19.0903,-99.1381,57.27,4.35,1.42,6.77,,3.31,WR,PETDB-3306-CH-07-16
1112,19.0903,-99.1411,57.01,4.35,1.41,6.81,,3.31,WR,PETDB-3306-CH-07-17
1113,19.0908,-99.1367,56.7,4.33,1.41,6.78,,3.27,WR,PETDB-3306-CH-07-15
1114,19.0731,-99.2058,52.62,3.94,1.35,7.49,,8.13,WR,PETDB-3306-CH-05-16
1244,19.0731,-99.2058,52.62,,,,,8.13,WR,PETDB-3304-CH-05-16
1115,19.0717,-99.2058,51.98,3.89,1.33,7.2,,8.11,WR,PETDB-3306-S12B
1140,19.0717,-99.2058,55.8,4.26,1.13,6.66,,5.88,WR,PETDB-3313-S12A
1116,19.075,-99.2022,,,,,,,WR,PETDB-3306-CH-05-13
1117,19.0747,-99.2047,,,,,,,WR,PETDB-3306-CH-05-15
1118,19.075,-99.2042,51.92,3.82,1.29,7.29,,8.53,WR,PETDB-3306-CH-05-12
1119,19.0742,-99.1931,51.97,3.81,1.33,7.35,,8.18,WR,PETDB-3306-CH-08-01
1120,19.0742,-99.1931,52.13,3.92,1.36,7.45,,8.05,WR,PETDB-3306-CH-08-02
1121,19.0286,-99.1983,51.78,4.06,1.15,8.63,,6.67,WR,PETDB-3306-MCH-06-10
1122,19.0092,-99.1767,51.67,3.95,1.13,8.58,,6.98,WR,PETDB-3306-MCH-06-11
1247,19.0092,-99.1767,51.67,,,,,6.98,WR,PETDB-3304-MCH-06-11
1123,19.0547,-99.1983,51.09,4,1.16,8.37,,7.19,WR,PETDB-3306-CH-08-04
1124,18.8947,-99.1422,50.52,3.96,1.12,8.02,,8.2,WR,PETDB-3306-CH-08-17
1246,18.8947,-99.1422,50.52,,,,,8.2,WR,PETDB-3304-CH-08-17
1125,18.9297,-99.1597,50.31,3.92,1.13,8.09,,7.94,WR,PETDB-3306-CH-08-18
