,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
82,Fonualei,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
83,Fonualei,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
84,Niuafo'ou,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
85,Niuafo'ou,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
86,Niuafo'ou,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
87,Pelee,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
88,Pelee,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
89,Pelee,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
90,Agrigan,WR,PICROBASALT,ANDESITE,No Data,No Data,No Data,2,1,0,0,0
91,Agrigan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
92,Agrigan,INC,BASALT,FOIDITE,No Data,No Data,No Data,1,1,0,0,0
93,Simbo,WR,ANDESITE,BASALTIC ANDESITE,BASALT,No Data,No Data,11,6,5,0,0
94,Simbo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
95,Simbo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
96,Savaii,WR,FOIDITE,No Data,No Data,No Data,No Data,4,0,0,0,0
97,Savaii,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
98,Savaii,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
99,Ushishur,WR,ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
100,Ushishur,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
101,Ushishur,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
102,Guguan,WR,PICROBASALT,BASALT,No Data,No Data,No Data,2,1,0,0,0
103,Guguan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
104,Guguan,INC,BASALT,TEPHRITE/BASANITE,BASALTIC ANDESITE,No Data,No Data,3,1,1,0,0
105,Ofu-Olosega,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
106,Ofu-Olosega,GL,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,12,0,0,0,0
107,Ofu-Olosega,INC,FOIDITE,PICROBASALT,No Data,No Data,No Data,2,1,0,0,0
108,Late,WR,BASALT,No Data,No Data,No Data,No Data,10,0,0,0,0
109,Late,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
110,Late,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
111,Kao,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
112,Kao,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
113,Kao,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
114,Savo,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
115,Savo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
116,Savo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
117,Prevo Peak,WR,ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
118,Prevo Peak,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
119,Prevo Peak,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
120,Aogashima,WR,BASALTIC ANDESITE,BASALT,No Data,No Data,No Data,1,1,0,0,0
121,Aogashima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
122,Aogashima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
123,Qualibou,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
124,Qualibou,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
125,Qualibou,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
126,Saba,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
127,Saba,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
128,Saba,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
129,Hachijojima,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
130,Hachijojima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
131,Hachijojima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
132,"Trois Pitons, Morne",WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
133,"Trois Pitons, Morne",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
134,"Trois Pitons, Morne",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
135,Niijima,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
136,Niijima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
137,Niijima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
138,Kozushima,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
139,Kozushima,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
140,Kozushima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
141,Tutuila,WR,BASALT,TRACHYBASALT,TEPHRITE/BASANITE,BASALTIC TRACHYANDESITE,No Data,36,29,13,11,0
142,Tutuila,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
143,Tutuila,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
144,"Quill, The",WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
145,"Quill, The",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
146,"Quill, The",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
147,Liamuiga,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
148,Liamuiga,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
149,Liamuiga,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
150,Ambitle,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
151,Ambitle,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
152,Ambitle,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
153,Macauley,WR,PICROBASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
154,Macauley,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
155,Macauley,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
