,MATERIAL,ROCK,x,y
0,WR,BASALT,46.95390118797646,2.516519092010306
1,WR,BASALT,46.77276877131456,2.3939178390475515
2,WR,BASALT,46.28015720348778,2.3602251976958093
3,WR,ANDESITE,35.86821178934261,1.3774513965531876
4,WR,ANDESITE,38.99637528978025,1.6173233541235177
5,WR,ANDESITE,40.90725547622613,2.04895043020661
6,WR,ANDESITE,39.224924932291245,1.4020153891461529
7,WR,ANDESITE,36.61531370439173,1.1003323172035877
8,WR,ANDESITE,38.571107976017025,1.5785188449362402
9,WR,ANDESITE,34.93586935108696,0.8975618607986766
10,WR,ANDESITE,39.68083251651138,1.9456003290025354
11,WR,ANDESITE,40.21492446026845,1.1192862907417789
12,WR,ANDESITE,41.22237558640764,1.8374783252592262
13,WR,ANDESITE,33.881561258954164,0.6799231007997566
14,WR,ANDESITE,33.687452585862346,0.6245469391907558
15,WR,ANDESITE,36.2948189822956,1.2381050063448908
16,WR,ANDESITE,39.0304824440818,1.7246383640845255
17,WR,ANDESITE,40.80462148768813,1.836087171737299
18,WR,ANDESITE,39.56899496720409,1.7734003346646092
19,WR,ANDESITE,39.35497736042346,1.6637748393206475
20,WR,ANDESITE,36.33471250033841,1.1318259067739298
21,WR,ANDESITE,36.43743601330855,1.2328166128419047
22,WR,ANDESITE,39.117320026235724,1.7105566300480737
23,WR,ANDESITE,39.52406433196447,1.6552547586921809
24,WR,ANDESITE,35.463100158889056,1.1542593627732625
25,WR,ANDESITE,36.929722992351486,1.1006322007866327
26,WR,ANDESITE,37.46405442450786,1.147644759303386
27,WR,ANDESITE,37.44655379242233,2.0126751523521884
28,WR,ANDESITE,38.95714573178466,1.5576299850671476
29,WR,ANDESITE,36.87723078335697,1.6204683960043864
30,WR,ANDESITE,37.475682584740454,1.7441817363292258
31,WR,ANDESITE,34.85230423684171,1.9044563654256916
32,WR,ANDESITE,35.95252342186609,1.9074367742313227
33,WR,ANDESITE,38.61637087836898,1.9160200153446487
34,WR,ANDESITE,39.234192662395884,1.7569922144659558
35,WR,ANDESITE,35.49608827813933,1.2750799618088335
36,WR,ANDESITE,33.76937214279454,0.6400332265331093
37,WR,ANDESITE,37.74830419007632,1.671710614131951
38,WR,ANDESITE,38.041245257785825,1.8780051718449955
39,WR,ANDESITE,36.79711609760741,1.5844168872105688
40,WR,ANDESITE,36.15916533748268,1.4602000880173667
41,WR,ANDESITE,36.83326169272779,1.2919779763104433
42,WR,ANDESITE,37.12770021515359,1.5450561887288217
43,WR,ANDESITE,39.00226598033303,2.0219349257218284
44,WR,ANDESITE,37.584356605968594,1.5853483753546425
45,WR,ANDESITE,38.19004976830304,1.620231829988022
46,WR,ANDESITE,37.197238400249674,1.5675195280341203
47,WR,ANDESITE,36.05560116620571,1.2739131033027713
48,WR,ANDESITE,36.843211271595315,1.4849236870383427
49,WR,ANDESITE,38.01159737785674,1.6356795681067655
50,WR,ANDESITE,35.645117061669,1.316175043545554
51,WR,ANDESITE,36.50119553563212,1.6091014273248498
52,WR,ANDESITE,38.717790685411515,1.9424676118405535
53,WR,ANDESITE,38.86657387377911,2.0829737503611048
54,WR,ANDESITE,38.28152488764043,2.000885071410126
55,WR,ANDESITE,38.40711309414064,2.0865953979503273
56,WR,ANDESITE,37.03929724417745,1.7364593098986496
57,WR,ANDESITE,38.06987361233794,1.552410153577143
58,WR,ANDESITE,36.621225494360445,1.3505589448996713
59,WR,ANDESITE,37.24441883956345,1.5677755364926185
60,WR,ANDESITE,34.68856077220724,1.1217120426893148
61,WR,ANDESITE,38.41491493455289,2.0677238807913585
62,WR,ANDESITE,39.06295714970432,1.9153144849431292
63,WR,ANDESITE,38.103086052548356,2.035570105996388
64,WR,ANDESITE,36.97314406701063,1.440512106506908
65,WR,ANDESITE,34.1713652035566,0.998984343152402
66,WR,ANDESITE,36.26123547409795,1.4519940935315048
67,WR,ANDESITE,36.421033103688295,1.3936619810084807
68,WR,ANDESITE,38.51721289738239,1.9208262213052147
69,WR,ANDESITE,37.98865109257458,1.920947162852679
70,WR,ANDESITE,39.30865499682775,2.0150335763358074
71,WR,ANDESITE,34.00403945055817,0.8795466794453866
72,WR,ANDESITE,34.73594489055243,0.9873863970665581
73,WR,ANDESITE,34.79644200671675,1.2161272872596507
74,WR,ANDESITE,37.035842069798335,1.4566856893597995
75,WR,ANDESITE,36.91408166495769,1.350991353509135
76,WR,ANDESITE,38.75222007086817,1.9650756434419079
77,WR,ANDESITE,38.11777600603304,2.025174655985656
78,WR,ANDESITE,39.440631364202694,2.0861419651775535
79,WR,ANDESITE,36.589503971084795,1.3364609647539998
80,WR,ANDESITE,36.495139060963126,1.4468760319403349
81,WR,ANDESITE,35.15023769867566,0.7490394714923115
82,WR,ANDESITE,37.31827954546697,1.370907367982089
83,WR,ANDESITE,39.21748266636333,1.8164867268268052
84,WR,ANDESITE,35.42686660878185,0.665330018061524
85,WR,ANDESITE,36.79458149886242,1.4047857840975375
86,WR,ANDESITE,36.60759083128123,1.3124062050247194
87,WR,ANDESITE,36.81697954249167,1.3667556210669765
88,WR,ANDESITE,36.85057962615279,1.3360665463107673
89,WR,ANDESITE,37.08709248684504,1.3292310705849855
90,WR,ANDESITE,36.62706732083046,1.1484497118694736
91,WR,ANDESITE,37.88422593737542,1.5762446946684179
92,WR,ANDESITE,37.63730955165624,1.4961414977055896
93,WR,ANDESITE,36.52505595576229,1.1679973420838854
94,WR,ANDESITE,37.1059893285503,1.4716690665320509
95,WR,ANDESITE,37.78531948761021,1.6875294939655392
96,WR,ANDESITE,37.750256664673216,1.690880973427803
97,WR,ANDESITE,37.8283772016865,1.6836421170080984
98,WR,ANDESITE,35.31133376126283,1.497595855967444
99,WR,ANDESITE,36.54842722534866,1.4656993118464934
100,WR,ANDESITE,35.37305009574864,1.4243164313559102
101,WR,ANDESITE,37.743096649556875,1.3958007097848095
102,WR,ANDESITE,38.46273452924939,1.3532882432927933
103,WR,ANDESITE,39.47263732638866,1.5415743942119278
104,WR,ANDESITE,36.311596186750066,1.6168994731340085
105,WR,ANDESITE,38.745497889176974,1.6283041768933375
106,WR,ANDESITE,38.43521167116092,1.5448889819167706
107,WR,ANDESITE,39.640162455431046,1.4549882361117545
108,WR,ANDESITE,35.249911224262554,1.4209384347784215
109,WR,ANDESITE,39.30596429268661,1.887751573243817
110,WR,ANDESITE,39.170960894579345,1.7017276753723192
111,WR,ANDESITE,37.986761683058575,1.5129862405770131
112,WR,ANDESITE,37.718590067036686,1.5461688171267929
113,WR,ANDESITE,37.91321535727423,1.223006947008846
114,WR,ANDESITE,37.42926782628464,1.4178939883962995
115,WR,ANDESITE,36.657601313947275,1.6194121062386346
116,WR,ANDESITE,36.115414683471364,1.174233803612331
117,WR,ANDESITE,38.56844530175045,1.9805636342336743
118,WR,ANDESITE,38.679327231108985,1.9821815894058623
119,WR,ANDESITE,44.94161694520434,5.544805056679175
120,WR,ANDESITE,37.02133375668752,1.8914326280675244
121,WR,ANDESITE,39.58281772531265,2.070438834888965
122,WR,ANDESITE,40.270539617201706,1.9538901723856634
123,WR,ANDESITE,39.84646882497305,1.5365789512557748
124,WR,ANDESITE,38.62815118622494,1.5634833645652866
125,WR,ANDESITE,38.532349292545675,1.6097064978609161
126,WR,ANDESITE,34.657165387488384,0.6775895476780666
127,WR,ANDESITE,35.78232302717889,1.034037370205299
128,WR,ANDESITE,34.801912374349115,0.8156097085299595
129,WR,ANDESITE,39.23857915413445,1.749441485270149
130,WR,ANDESITE,39.620705064959715,1.7793028865099103
131,WR,ANDESITE,39.8976776787598,1.3327637523299058
132,WR,ANDESITE,39.86542998319306,1.6537713275835972
133,WR,ANDESITE,40.058653923647384,1.625821432260486
134,WR,ANDESITE,39.98468661557386,1.62991862322383
135,WR,ANDESITE,39.509160852149826,1.7164449528722625
136,WR,ANDESITE,38.41561293363738,1.6625470634473398
137,WR,ANDESITE,38.98912481819552,1.4469384335739561
138,WR,ANDESITE,40.096511014823946,1.6304542576102912
139,WR,ANDESITE,36.390789037221246,1.1868237000703243
140,WR,ANDESITE,36.670409087720515,1.2256874174789913
141,WR,ANDESITE,35.55493040335677,0.7624904654376318
142,WR,ANDESITE,37.06696457016265,1.120176893620865
143,WR,ANDESITE,37.16848108944232,0.9787311634837476
144,WR,ANDESITE,36.921128375592936,1.2575420672060729
145,WR,ANDESITE,36.84347573771483,1.2910112792191182
